city_raw,city_clean,geocode_query,lat,lon
"Milwaukee, WI","Milwaukee, WI","Milwaukee, WI, USA",43.0410344,-87.9096783
"Myrtle Beach, SC","Myrtle Beach, SC","Myrtle Beach, SC, USA",33.6954218,-78.8802094
"Nantucket, MA","Nantucket, MA","Nantucket, MA, USA",41.2853251,-70.0988002
"Punta Gorda, FL","Punta Gorda, FL","Punta Gorda, FL, USA",26.9297836,-82.0453664
"Little Rock, AR","Little Rock, AR","Little Rock, AR, USA",34.7428286,-92.27629040000001
"Seattle, WA","Seattle, WA","Seattle, WA, USA",47.6061389,-122.3328481
"Fresno, CA","Fresno, CA","Fresno, CA, USA",36.7377981,-119.7871247
"Bozeman, MT","Bozeman, MT","Bozeman, MT, USA",45.67931189999999,-111.037259
"Vero Beach, FL","Vero Beach, FL","Vero Beach, FL, USA",27.638635,-80.39463169999999
"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO, USA",38.8353142,-104.8216009
"Provo, UT","Provo, UT","Provo, UT, USA",40.2335349,-111.6669789
"Lubbock, TX","Lubbock, TX","Lubbock, TX, USA",33.5845235,-101.8552139
"Fort Myers, FL","Fort Myers, FL","Fort Myers, FL, USA",26.6409247,-81.8605575
"Everett, WA","Everett, WA","Everett, WA, USA",47.9782457,-122.207417
"Los Angeles, CA (Metropolitan Area)","Los Angeles, CA","Los Angeles, CA, USA",34.0549076,-118.242643
"Medford, OR","Medford, OR","Medford, OR, USA",42.3230112,-122.8767396
"Cincinnati, OH","Cincinnati, OH","Cincinnati, OH, USA",39.1031182,-84.5120196
"Kansas City, MO","Kansas City, MO","Kansas City, MO, USA",39.0997265,-94.5785667
"Pensacola, FL","Pensacola, FL","Pensacola, FL, USA",30.4076647,-87.2189746
"Dayton, OH","Dayton, OH","Dayton, OH, USA",39.7592225,-84.1936144
"Jackson/Vicksburg, MS","Jackson/Vicksburg, MS","Jackson/Vicksburg, MS, USA",32.3522304,-90.8745758
"Tampa, FL (Metropolitan Area)","Tampa, FL","Tampa, FL, USA",27.9516896,-82.45875269999999
"Fayetteville, AR","Fayetteville, AR","Fayetteville, AR, USA",36.0618562,-94.1579584
"Atlanta, GA (Metropolitan Area)","Atlanta, GA","Atlanta, GA, USA",33.7501275,-84.3885209
"Norfolk, VA (Metropolitan Area)","Norfolk, VA","Norfolk, VA, USA",36.8507689,-76.28587259999999
"Harrisburg, PA","Harrisburg, PA","Harrisburg, PA, USA",40.2731911,-76.8867008
"Phoenix, AZ","Phoenix, AZ","Phoenix, AZ, USA",33.4482948,-112.0725488
"St. Louis, MO","St. Louis, MO","St. Louis, MO, USA",38.62742799999999,-90.1982439
"Charleston, SC","Charleston, SC","Charleston, SC, USA",32.7833163,-79.9319664
"San Antonio, TX","San Antonio, TX","San Antonio, TX, USA",29.4251905,-98.4945922
"Greenville/Spartanburg, SC","Greenville/Spartanburg, SC","Greenville/Spartanburg, SC, USA",34.8332582,-82.2975348
"Minneapolis/St. Paul, MN","Minneapolis/St. Paul, MN","Minneapolis/St. Paul, MN, USA",44.9374831,-93.20099979999999
"Denver, CO","Denver, CO","Denver, CO, USA",39.7392358,-104.990251
"Albuquerque, NM","Albuquerque, NM","Albuquerque, NM, USA",35.0843859,-106.650422
"Memphis, TN","Memphis, TN","Memphis, TN, USA",35.1485812,-90.0518955
"Portland, OR","Portland, OR","Portland, OR, USA",45.515232,-122.6783853
"Reno, NV","Reno, NV","Reno, NV, USA",39.529919,-119.8142691
