Year,quarter,citymarketid,strength_pax,degree,HHI_neighbors,TotalFaredPax_city,TotalPerLFMkts_city,TotalPerPrem_city,city_clean,lat,lon
2022,1,30135,376.0,1,1.0,92750.0,0.7545,-0.3443,"Allentown/Bethlehem/Easton, PA",40.6672608,-75.30623260000002
2022,1,30140,4733.0,15,0.07947502485236452,596250.0,0.9461,-0.0356,"Albuquerque, NM",35.0843859,-106.650422
2022,1,30158,795.0,3,0.34998773782682646,100590.0,1.0,-0.5145,"Atlantic City, NJ",39.3636917,-74.4291041
2022,1,30189,1364.0,4,0.26202367540698823,283980.0,0.9394,-0.127,"Colorado Springs, CO",38.8353142,-104.8216009
2022,1,30194,60591.0,67,0.03259535213592522,3003365.0,0.7158,0.04475,"Dallas/Fort Worth, TX",32.7766642,-96.7969879
2022,1,30198,9347.0,20,0.06515122991949915,1122980.0,0.8308,-0.0357,"Pittsburgh, PA",40.4386612,-79.99723519999999
2022,1,30255,252.0,1,1.0,143660.0,0.1412,0.2494,"Huntsville, AL",34.7295497,-86.5853155
2022,1,30257,1820.0,5,0.2529422775027171,354950.0,0.8850999999999999,-0.0372,"Albany, NY",42.6518095,-73.75447070000001
2022,1,30279,232.0,1,1.0,68790.0,0.8728,0.0412,"Amarillo, TX",35.2069816,-101.8320065
2022,1,30325,63660.0,64,0.030200507546324137,6154490.0,0.9555,-0.0282,"Denver, CO",39.7392358,-104.990251
2022,1,30372,584.0,2,0.5129538844060799,157930.0,0.0,0.9,"Aspen, CO",39.1910983,-106.8175387
2022,1,30397,53526.0,55,0.03959077707915119,5324640.0,0.8866,0.1031,"Atlanta, GA",33.7501275,-84.3885209
2022,1,30408,381.0,2,0.501519003038006,118480.0,0.701,-0.1458,"Appleton, WI",44.2622712,-88.40710469999999
2022,1,30423,23261.0,32,0.0482777164646542,2497550.0,0.8981,-0.0047,"Austin, TX",30.267153,-97.7430608
2022,1,30431,219.0,1,1.0,139600.0,0.6044,-0.1085,"Asheville, NC",35.5975104,-82.54605629999999
2022,1,30436,4171.0,14,0.08236070305630645,587020.0,0.7701,-0.0141,"Tucson, AZ",32.2539787,-110.9741769
2022,1,30466,62106.0,64,0.032819064894903285,3088330.0,0.9727,-0.19665,"Phoenix, AZ",33.4482948,-112.0725488
2022,1,30529,6302.0,14,0.10427306378685604,809780.0,0.8114,-0.0354,"Hartford, CT",41.7658043,-72.6733723
2022,1,30559,39246.0,46,0.05432707977366427,3889610.0,0.4265,-0.09420000000000002,"Seattle, WA",47.6061389,-122.3328481
2022,1,30581,174.0,1,1.0,55080.0,0.5532,-0.2568,"Bangor, ME",44.8016128,-68.7712257
2022,1,30599,2690.0,11,0.09743922831359435,386700.0,0.7045,0.0932,"Birmingham, AL",33.5185892,-86.8103567
2022,1,30615,3688.0,12,0.09991703761040086,508910.0,0.8950999999999999,0.0163,"El Paso, TX",31.7618778,-106.4850217
2022,1,30620,176.0,1,1.0,76950.0,0.2109,0.0705,"Billings, MT",45.78277689999999,-108.5045938
2022,1,30627,269.0,1,1.0,56100.0,0.6941,-0.1895,"Bismarck/Mandan, ND",46.8041643,-100.7877616
2022,1,30647,11647.0,20,0.06638910277059248,649505.0,0.73495,-0.0967,"Cleveland, OH",41.49932,-81.6943605
2022,1,30666,173.0,1,1.0,59500.0,0.9867,-0.3551,"Bellingham, WA",48.7519112,-122.4786854
2022,1,30693,22036.0,35,0.04191528484832869,2329440.0,0.9555000000000001,-0.0109,"Nashville, TN",36.1626638,-86.7816016
2022,1,30713,4943.0,13,0.098957572118223,607040.0,0.6542,-0.0311,"Boise, ID",43.6150186,-116.2023137
2022,1,30721,49307.0,47,0.042186953041506055,1584666.66666666,0.8932666666666659,-0.00403333333333333,"Boston, MA",42.3555076,-71.0565364
2022,1,30785,188.0,1,1.0,142460.0,0.5322,0.0984,"Burlington, VT",44.4758825,-73.21207199999999
2022,1,30792,4324.0,11,0.12494031120326622,549950.0,0.8684999999999999,-0.05290000000000001,"Buffalo, NY",42.88690039999999,-78.8788896
2022,1,30849,2223.0,10,0.10823478988831642,363580.0,0.7164,0.0318,"Bozeman, MT",45.67931189999999,-111.037259
2022,1,30852,61952.0,61,0.03416733331069962,2001510.0,0.625366666666666,0.0405,"Washington, DC",38.9072873,-77.0369274
2022,1,30928,186.0,1,1.0,173520.0,0.7637,0.0478,"Wichita, KS",37.693452,-97.3382202
2022,1,30977,71073.0,56,0.03832647342485639,3429260.0,0.7898,-0.01385,"Chicago, IL",41.88325,-87.6323879
